15:07:41 | memes | Evilghost posted a pic, saved as 22
15:25:33 | memes | Evilghost posted a pic, saved as 23
15:31:27 | memes | EvilPrincess posted a pic, saved as 0
16:09:48 | memes | Evilghost posted a pic, saved as 24
16:41:21 | memes | chaseyourface. posted a pic, saved as 28
16:41:55 | memes | chaseyourface. deleted: make ^ a meme
16:41:21 | memes | chaseyourface. deleted: 
16:45:54 | memes | chaseyourface. deleted: (nvm, already did it)
17:11:26 | memes | Gembah deleted: 
17:12:06 | memes | Gembah posted a pic, saved as 22
17:56:01 | memes | Cheese posted a pic, saved as 0
17:56:16 | memes | Cheese posted a pic, saved as 1
19:03:17 | memes | Grumpy edited: https://www.youtube.com/watch?v=D-UmfqFjpl0&index=9&list=RDXDXrP9HET2A
19:07:49 | memes | Grumpy edited: https://www.youtube.com/watch?v=XeZCAOE7Y6M&index=28&list=RDXDXrP9HET2A
19:23:24 | photospam | Grumpy posted a pic, saved as 0
19:23:37 | photospam | Grumpy posted a pic, saved as 1
19:31:59 | photospam | EvilPrincess posted a pic, saved as 1
19:33:11 | memes | EvilPrincess posted a pic, saved as 2
19:35:34 | memes | EvilPrincess posted a pic, saved as 3
20:01:31 | photospam | chaseyourface. posted a pic, saved as 29
20:29:18 | memes | Wolfie edited: https://9gag.com/gag/aAd9y02?ref=fsidebar
20:35:24 | photospam | Wizzy posted a pic, saved as 14
20:35:41 | photospam | Wizzy posted a pic, saved as 15
15:02:42 | memes | chaseyourface. deleted: about the dad thing?
15:02:38 | memes | chaseyourface. deleted: Mom? what do you say
15:26:00 | announcements | chaseyourface. edited: as long as he doesn't start to boil up drama and doesn't hit on every female i'm down "D
15:26:14 | memes | chaseyourface. edited: h
15:26:14 | memes | chaseyourface. deleted: he's 18
15:26:31 | memes | chaseyourface. edited: 17
15:26:31 | memes | chaseyourface. deleted: 18
15:28:44 | memes | chaseyourface. deleted: <:youtried:319888195015802880>
15:35:02 | memes | chaseyourface. deleted: yes
16:41:51 | memes | chaseyourface. edited: we
16:52:41 | memes | Tyrone posted a pic, saved as 0
16:57:51 | music | Wizzy edited: =music q https://www.youtube.com/watch?v=WkuHLzMMTZM
17:17:21 | photospam | Wolfie posted a pic, saved as 1
17:19:07 | music | Wizzy deleted: 1
17:19:03 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : errrbody in the club gettin tipsy ;A;  RIP SNOOP DOGG
 2 : J-Kwon - Tipsy
 3 : 50 Cent - In Da Club (Int'l Version)
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:20:54 | photospam | chaseyourface. deleted: cos i'm black
17:23:13 | music | Wizzy deleted: 1
17:23:12 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Pomf Pomf With lyrics and Download
 2 : Pomf pomf kimochi song
 3 : Grisaia - Pomf Pomf
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:23:49 | music | Wizzy deleted: 1
17:23:48 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : ?????????? - PONPONPON , Kyary Pamyu Pamyu - PONPONPON
 2 : Kyary Pamyu Pamyu ? PONPONPON ? Xmas Live
 3 : Kyary Pamyu Pamyu - "PONPONPON" | ENGLISH ver | AmaLee
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:24:24 | music | Wizzy deleted: 1
17:24:20 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : ?Cover? PonPonPon Acoustic Ver.
 2 : ?PonPonPon - Acoustic???????ham?????Thank you 400+ subs!
 3 : Kyary Pamyu Pamyu - "PONPONPON" on guitars by Osamuraisan ??????????
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:26:38 | photospam | Wolfie posted a pic, saved as 2
17:26:40 | photospam | Wolfie posted a pic, saved as 3
17:26:40 | photospam | Wolfie posted a pic, saved as 4
17:28:49 | music | Wizzy deleted: 1
17:28:47 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Evangelion Opening
 2 : Shinseiki Evangelion - Opening (Zankoku na Tenshi no These)_Sub Thai
 3 : Evangelion OP - "Cruel Angel's Thesis" | ENGLISH ver | AmaLee
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:29:02 | music | Wizzy deleted: 1
17:28:59 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Tokyo Ghoul Unravel - Lyrics
 2 : Tokyo Ghoul - Unravel  Lyrics (Official Acoustic)
 3 : Tokyo Ghoul: Unravel - Lyrics
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:29:18 | music | Wizzy deleted: 1
17:29:15 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Parasyte Opening
 2 : Parasyte op full  Kiseijuu Sei no Kakuritsu
 3 : Parasyte - Let Me Hear (Opening) [English Cover Song] - NateWantsToBattle and Shawn Christmas
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:31:25 | music | Wizzy deleted: 1
17:31:22 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : NARUTO OPENING 3 - KANASHIMI WO YASASHISA NI
 2 : [FULL] Naruto OP 3 -?Kanashimi wo Yasashisa ni?- Original/English
 3 : Naruto Opening 3
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:32:38 | music | Wizzy deleted: 1
17:32:37 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Shingeki no Kyojin ????? OP / Opening - "Guren no Yumiya" - Linked Horizon
 2 : Linked Horizon - Guren No Yumiya (Attack On Titan) FULL Opening Theme
 3 : Shingeki no Kyojin [Attack on Titan] Opening 1 [Full] HD
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:35:52 | photospam | Wizzy posted a pic, saved as 16
17:35:52 | photospam | Wizzy deleted: this guy is flirting with me
17:37:10 | music | Wizzy deleted: 1
17:37:08 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : PSY - DADDY(feat. CL of 2NE1) M/V
 2 : PSY - DADDY (Dance Practice)
 3 : PSY - ?DADDY? 1220 SBS Inkigayo : NO.1 OF THE WEEK
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:40:47 | memes | Josh posted a pic, saved as 0
17:42:38 | memes | Wizzy deleted: *yaoi feels*
17:47:38 | music | Wizzy deleted: 1
17:47:36 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : PSY - GANGNAM STYLE(?????) M/V
 2 : PSY- Gangnam Style (Official Music Video)
 3 : PSY (ft. HYUNA) - ?? ? ? ??? M/V
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:49:29 | memes | Josh posted a pic, saved as 1
17:49:43 | music | Daddy Beal 68 (Bealhitch) deleted: 3
17:49:38 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : The Seven Deadly Sins - Opening 1
 2 : Nanatsu No Taizai ( The Seven Deadly Sins) Opening 2
 3 : The Seven Deadly Sins Opening 1 [HQ]
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:50:12 | music | Wizzy deleted: 1
17:50:11 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : 2NE1 - COME BACK HOME M/V
 2 : 2NE1 - Comeback Home (Color Coded Lyrics: Rom, Eng, Hangul)
 3 : [HIT] 2NE1 - Come Back Home ???? ????.20140523
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:50:24 | music | Wizzy deleted: 1
17:50:23 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : 2NE1 - ?? ?? ? ??(I AM THE BEST) M/V
 2 : 2NE1 - I AM THE BEST (?? ?? ? ??) - (Color Coded Han|Rom|Eng Lyrics) | by Yankat
 3 : [2NE1-Fire + I AM THE BEST] KPOP Concert MAMA 2015 | EP.2
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
17:49:29 | memes | Josh edited: 
17:40:47 | memes | Josh edited: 
18:08:48 | music | Wizzy deleted: 1
18:08:46 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : My Chemical Romance - "Welcome To The Black Parade" [Official Music Video]
 2 : Welcome To The Black Parade - My Chemical Romance Lyrics
 3 : Welcome to the Black Parade (ACAPELLA) - My Chemical Romance cover by Austin Jones // MCRX
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:10:29 | music | Wizzy deleted: 1
18:10:27 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Invisible (Official Lyric Video) - Linkin Park
 2 : Linkin Park: Invisible
 3 : Linkin Park - Invisible Lyrics
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:14:02 | music | Wizzy deleted: 1
18:14:00 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Heavy (Official Video) - Linkin Park (feat. Kiiara)
 2 : Heavy (Official Lyric Video) - Linkin Park (feat. Kiiara)
 3 : Linkin Park - "Heavy" (cover by Our Last Night ft. Living In Fiction)
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:24:18 | music | Wizzy deleted: 1
18:24:16 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : In The End (Official Video) - Linkin Park
 2 : In The End (Official Lyric Video) - Linkin Park
 3 : Waiting For The End (Official Video) - Linkin Park
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:24:34 | music | Wizzy deleted: 1
18:24:31 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Final Masquerade (Official Video) - Linkin Park
 2 : Final Masquerade (Official Lyric Video) - Linkin Park
 3 : Linkin Park: Final Masquerade (Lyrics)
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:28:10 | music | Cheese edited: =music q https://www.youtube.com/watch?v=_VK5jjPQ8No
18:36:04 | music | Cheese edited: !play https://www.youtube.com/watch?v=ftBIKxoAoOs
18:36:26 | music | Wizzy deleted: 1
18:36:24 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Samson & Gert - Bij de brandweer
 2 : Samson en Gert - Het brandweerkorps
 3 : Wij zijn bij de brandweer
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:40:58 | music | Wizzy deleted: 1
18:40:55 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Rihanna - What Now (Official)
 2 : Kevin Hart  What Now film complet
 3 : KEVIN HART: WHAT NOW? Trailer (2016)
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:41:35 | music | Cheese edited: =music q https://www.youtube.com/watch?v=kWavHi0FHaM
18:44:49 | music | Cheese deleted: x
18:49:15 | music | Cheese edited: =music q https://www.youtube.com/watch?v=4ozVntId3c4
18:50:02 | music | Wizzy deleted: 1
18:50:00 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : BOEF - Habiba (prod. MB)
 2 : Boef: Habiba
 3 : BOEF - Habiba (Parodie) "EEN LIGA"
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:51:12 | music | EvilPrincess deleted: 1
18:51:06 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : ALI B - 'RAMPENEREN' FT. YES-R EN THE PARTYSQUAD
 2 : Rampeneren Lyrics
 3 : Partysquad ft. Ali-B, Yes-R - Rampeneren
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:53:39 | memes | Josh posted a pic, saved as 2
18:53:43 | music | EvilPrincess deleted: 1
18:53:41 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : De Jeugd Van Tegenwoordig - Watskeburt?!
 2 : De jeugd van tegenwoordig   Watskeburt  lyrics
 3 : De jeugd van tegenwoordig - Watskeburt/De formule
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:54:22 | music | Cheese edited: =music q https://www.youtube.com/watch?v=Nj1LpCTeQPM
18:56:47 | music | EvilPrincess deleted: 1
18:56:45 | music | Ayana deleted: Pick an option below to enqueue it.
```prolog
[Page 1/1]

 1 : Het Vliegerlied Partyclip
 2 : Het Vliegerlied (Het is weer een mooie dag) - Caf? The Block
 3 : Het vliegerlied
 c : Cancel
```Type `<` and `>` to switch the page. Type `p<num>` to jump to a page (ex. `p10`).
18:57:08 | music | Cheese edited: =music q https://www.youtube.com/watch?v=DChzi8N4I2c
18:58:30 | music | Cheese edited: =music q https://www.youtube.com/watch?v=C5v3l-85IWs
19:02:13 | music | EvilPrincess deleted: = q het is een nacht
19:02:43 | music | Sunny edited: =usic q https://www.youtube.com/watch?v=_4ddL85RtB0
19:04:42 | music | Sunny edited: =music q https://www.youtube.com/watch?v=-WNo6YdN8u0
19:06:57 | music | Cheese posted a pic, saved as 2
19:30:45 | memes | EvilPrincess edited: https://www.youtube.com/watch?v=iQuV67LeWAo
19:45:48 | memes | Biribiri deleted: 
20:00:00 | memes | TripleX33 posted a pic, saved as 0
20:00:24 | memes | Cheese posted a pic, saved as 3
20:13:32 | photospam | Evilghost posted a pic, saved as 25
20:13:50 | photospam | Evilghost posted a pic, saved as 26
20:14:03 | photospam | Evilghost posted a pic, saved as 27
22:00:13 | memes | chaseyourface. edited: https://www.instagram.com/p/BVW_ntAFNjI/
22:09:52 | memes | Tyrone posted a pic, saved as 1
22:19:43 | memes | chaseyourface. posted a pic, saved as 30
22:20:32 | memes | chaseyourface. posted a pic, saved as 31
22:21:16 | memes | chaseyourface. posted a pic, saved as 32
22:23:41 | memes | chaseyourface. posted a pic, saved as 33
22:27:24 | memes | chaseyourface. edited: https://9gag.com/gag/aDzRArB
22:28:09 | memes | chaseyourface. edited: https://9gag.com/gag/a1KpvB6
22:30:22 | memes | chaseyourface. edited: https://9gag.com/gag/aNzmr8G
22:30:48 | memes | Tyrone posted a pic, saved as 2
